antecedents,consequents,support,confidence,lift
虎皮尖椒/茄子长江豆,米饭,0.00965698393077874,0.9765625,1.0502347125290794
青椒炒面筋/咸菜绿豆,米饭,0.009270704573547589,0.975609756097561,1.0492100932973438
酥鱼/椒盐虾,米饭,0.00888442521631644,0.9745762711864406,1.0480986419273253
丝瓜炒蛋/家常豆腐,米饭,0.011820148331273176,0.9745222929936306,1.0480405916009932
白菜/土豆丝,米饭,0.00834363411619283,0.972972972972973,1.046374390342486
咖喱土豆鸡块,米饭,0.002781211372064277,0.972972972972973,1.046374390342486
炸鸡排,米饭,0.002781211372064277,0.972972972972973,1.046374390342486
红烧白萝卜/红烧茄子,米饭,0.00811186650185414,0.9722222222222222,1.0455670026956168
雪菜蛋饺,米饭,0.0188504326328801,0.9721115537848606,1.0454479853930903
白菜油付,米饭,0.01614647713226205,0.9720930232558139,1.0454280569145278
春卷/山药卷,米饭,0.00788009888751545,0.9714285714285714,1.0447134786117838
蒜泥生菜,米饭,0.005253399258343634,0.9714285714285714,1.0447134786117838
豆芽,米饭,0.002472187886279357,0.9696969696969697,1.0428512442470568
莴苣,米饭,0.012129171817058096,0.9691358024691358,1.042247742369599
雪菜毛豆/西葫芦炒蛋,米饭,0.011897404202719406,0.9685534591194969,1.0416214668363881
雪菜山药,米饭,0.011511124845488257,0.9675324675324676,1.0405234512911483
香菇肉丝/鸡排,米饭,0.00919344870210136,0.967479674796748,1.0404666758531993
土豆丝/青菜,米饭,0.01830964153275649,0.9673469387755103,1.0403239261806418
白菜油付/土豆丝,米饭,0.011356613102595798,0.9671052631578947,1.0400640184709031
番茄炒蛋,米饭,0.006644004944375772,0.9662921348314607,1.0391895474624815
鸡米花/椒盐虾,米饭,0.004403584672435105,0.9661016949152542,1.0389847406931747
雪菜毛豆子,米饭,0.013133498145859086,0.9659090909090909,1.0387776065742167
西红柿炒蛋/红烧茄子,米饭,0.010738566131025957,0.9652777777777778,1.0380986669620766
木耳娃娃菜/黄豆芽,米饭,0.00857540173053152,0.9652173913043478,1.0380337249122198
木耳花菜/青韭炒蛋,米饭,0.00834363411619283,0.9642857142857143,1.0370317618572853
西葫芦炒蛋/素鸡,米饭,0.010275030902348579,0.9637681159420289,1.0364751157156549
鸟蛋烧肉,米饭,0.022558714462299134,0.9636963696369637,1.0363979568445378
虎皮尖椒/家常豆腐,米饭,0.008034610630407911,0.9629629629629629,1.0356092217175632
洋葱土豆条,米饭,0.0020086526576019777,0.9629629629629629,1.0356092217175632
肉末茄子,米饭,0.0020086526576019777,0.9629629629629629,1.0356092217175632
千叶豆腐肉丝/茭白肉,米饭,0.00996600741656366,0.9626865671641791,1.0353119745241885
茄子长江豆/素烧鹅,米饭,0.013674289245982695,0.9619565217391305,1.0345268542199488
酥鱼/红烧肉,米饭,0.007648331273176761,0.9611650485436893,1.033675672013087
蘑菇肉片,米饭,0.011433868974042027,0.961038961038961,1.0335400724234223
肉沫茄子/西葫芦炒蛋,米饭,0.01684177997527812,0.960352422907489,1.0328017416180242
红烧带鱼,米饭,0.03352904820766378,0.9601769911504425,1.0326130752285916
鸭血豆腐,米饭,0.012901730531520396,0.9597701149425287,1.0321755041389242
虎皮青椒/雪菜毛豆,米饭,0.020241038318912236,0.9597069597069597,1.0321075844505556
大白菜/豆芽,米饭,0.021940667490729295,0.9594594594594594,1.0318414126988404
香菇鸭块,米饭,0.010970333745364647,0.9594594594594594,1.0318414126988404
